"id","name","code","group_id:id","user_type_id:id","chart_template_id:id","reconcile"
"acc12131","En cobranza",12131,"group1213","account.data_account_type_receivable","l10n_pe.pcge","true"
"acc2811","Mercaderías",2811,"group281","account.data_account_type_current_assets","l10n_pe.pcge","False"
"acc29111","Mercaderías manufacturadas",29111,"group2911","account.data_account_type_current_assets","l10n_pe.pcge","False"
"acc20111","Costo",20111,"group20111","account.data_account_type_current_assets","l10n_pe.pcge","False"
"acc2411","Materias primas para productos manufacturados",2411,"group20111","account.data_account_type_current_assets","l10n_pe.pcge","False"
"acc6911","Mercaderías",69111,"group691","account.data_account_type_direct_costs","l10n_pe.pcge","False"
"acc61111","Mercaderías manufacturadas",61111,"group6111","account.data_account_type_current_assets","l10n_pe.pcge","False"
"acc401111","IGV - cuenta propia",401111,"group40111","account.data_account_type_current_liabilities","l10n_pe.pcge","False"
"acc42121","Emitidas",42121,"group4212","account.data_account_type_payable","l10n_pe.pcge","true"
"acc2111","Productos manufacturados",2111,"group211","account.data_account_type_current_assets","l10n_pe.pcge","False"
"acc60111","Mercaderías manufacturadas",60111,"group6011","account.data_account_type_expenses","l10n_pe.pcge","False"
"acc701111","Terceros",701111,"group70111","account.data_account_type_revenue","l10n_pe.pcge","False"
"acc6761","Diferencia en cambio",6761,"group676","account.data_account_type_expenses","l10n_pe.pcge","False"
"acc7761","Diferencia en cambio",7761,"group776","account.data_account_type_other_income","l10n_pe.pcge","False"
"acc8911","Utilidad",8911,"group891","account.data_unaffected_earnings","l10n_pe.pcge","False"
"acc63611","Energía eléctrica",63611,"group6361","account.data_account_type_expenses","l10n_pe.pcge","False"
"acc63621","Gas",63621,"group6362","account.data_account_type_expenses","l10n_pe.pcge","False"
"acc63631","Agua",63631,"group6363","account.data_account_type_expenses","l10n_pe.pcge","False"
"acc63641","Teléfono",63641,"group6364","account.data_account_type_expenses","l10n_pe.pcge","False"
"acc63651","Internet",63651,"group6365","account.data_account_type_expenses","l10n_pe.pcge","False"
"acc63661","Radio",63661,"group6366","account.data_account_type_expenses","l10n_pe.pcge","False"
"acc63671","Cable",63671,"group6367","account.data_account_type_expenses","l10n_pe.pcge","False"
"acc63291","Otros",63291,"group6329","account.data_account_type_expenses","l10n_pe.pcge","False"
"acc63131","Alojamiento",63131,"group6313","account.data_account_type_expenses","l10n_pe.pcge","False"
"acc63141","Alimentación",63141,"group6314","account.data_account_type_expenses","l10n_pe.pcge","False"
"acc63151","Otros gastos de viaje",63151,"group6315","account.data_account_type_expenses","l10n_pe.pcge","False"
"acc63911","Gastos bancarios",63911,"group6391","account.data_account_type_expenses","l10n_pe.pcge","False"
"acc5011","Capital social",5011,"group501","account.data_account_type_equity","l10n_pe.pcge","False"
"acc5021","Acciones de tesorería",5021,"group501","account.data_account_type_equity","l10n_pe.pcge","False"
"acc3311","Terrenos",3311,"group331","account.data_account_type_equity","l10n_pe.pcge","False"
"acc3321","Edificaciones",3321,"group332","account.data_account_type_equity","l10n_pe.pcge","False"
"acc3331","Maquinarias y equipos equipos de explotación",3331,"group333","account.data_account_type_equity","l10n_pe.pcge","False"
"acc3341","Unidades de transporte",3341,"group334","account.data_account_type_equity","l10n_pe.pcge","False"
"acc3351","Muebles y enseres",3351,"group335","account.data_account_type_equity","l10n_pe.pcge","False"
"acc3361","Equipos diversos",3361,"group336","account.data_account_type_equity","l10n_pe.pcge","False"
"acc3371","Herramientas y unidades de reemplazo",3371,"group337","account.data_account_type_equity","l10n_pe.pcge","False"
"acc3381","Unidades por recibir",3381,"group338","account.data_account_type_equity","l10n_pe.pcge","False"
"acc3391","Construcciones y obras en uso",3391,"group339","account.data_account_type_equity","l10n_pe.pcge","False"
